name,address_mode,instruction_bytes,machine_cycles,extra_cycles_possible
BRK,implied,1,7,0
ORA,indx,2,6,0
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
ORA,zp,2,3,0
ASL,zp,2,5,0
ILLEGAL,ILLEGAL,0,0,0
PHP,implied,1,3,0
ORA,imm,2,2,0
ASL,accum,1,2,0
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
ORA,abs,3,4,0
ASL,abs,2,6,0
ILLEGAL,ILLEGAL,0,0,0
BPL,relative,2,2,2
ORA,indy,2,5,1
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
ORA,zpx,2,4,0
ASL,zpx,2,6,0
ILLEGAL,ILLEGAL,0,0,0
CLC,implied,1,2,0
ORA,absy,3,4,1
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
ORA,absx,3,4,1
ASL,absx,3,7,0
ILLEGAL,ILLEGAL,0,0,0
JSR,abs,3,6,0
AND,indx,2,6,0
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
BIT,zp,2,3,0
AND,zp,2,3,0
ROL,zp,2,5,0
ILLEGAL,ILLEGAL,0,0,0
PLP,implied,1,4,0
AND,imm,2,2,0
ROL,accum,1,2,0
ILLEGAL,ILLEGAL,0,0,0
BIT,abs,3,4,0
AND,abs,3,4,0
ROL,abs,3,6,0
ILLEGAL,ILLEGAL,0,0,0
BMI,relative,2,2,2
AND,indy,2,5,1
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
AND,zpx,2,4,0
ROL,zpx,2,6,0
ILLEGAL,ILLEGAL,0,0,0
SEC,implied,1,2,0
AND,absy,3,4,1
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
AND,absx,3,4,1
ROL,absx,3,7,0
ILLEGAL,ILLEGAL,0,0,0
RTI,implied,1,6,0
EOR,indx,2,6,0
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
EOR,zp,2,3,0
LSR,zp,2,5,0
ILLEGAL,ILLEGAL,0,0,0
PHA,implied,1,3,0
EOR,imm,2,2,0
LSR,accum,1,2,0
ILLEGAL,ILLEGAL,0,0,0
JMP,abs,3,3,0
EOR,abs,3,4,0
LSR,abs,3,6,0
ILLEGAL,ILLEGAL,0,0,0
BVC,relative,2,2,2
EOR,indy,2,5,1
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
EOR,zpx,2,4,0
LSR,zpx,2,6,0
ILLEGAL,ILLEGAL,0,0,0
CLI,implied,1,2,0
EOR,absy,3,4,1
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
EOR,absx,3,4,1
LSR,absx,3,7,0
ILLEGAL,ILLEGAL,0,0,0
RTS,implied,1,6,0
ADC,indx,2,6,0
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
ADC,zp,2,3,0
ROR,zp,2,5,0
ILLEGAL,ILLEGAL,0,0,0
PLA,implied,1,4,0
ADC,imm,2,2,0
ROR,accum,1,2,0
ILLEGAL,ILLEGAL,0,0,0
JMP,ind,3,5,0
ADC,abs,3,4,0
ROR,abs,3,6,0
ILLEGAL,ILLEGAL,0,0,0
BVS,relative,2,2,2
ADC,indy,2,5,1
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
ADC,zpx,2,4,0
ROR,zpx,2,6,0
ILLEGAL,ILLEGAL,0,0,0
SEI,implied,1,2,0
ADC,absy,3,4,1
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
ADC,absx,3,4,1
ROR,absx,3,7,0
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
STA,indx,2,6,0
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
STY,zp,2,3,0
STA,zp,2,3,0
STX,zp,2,3,0
ILLEGAL,ILLEGAL,0,0,0
DEY,implied,1,2,0
ILLEGAL,ILLEGAL,0,0,0
TXA,implied,1,2,0
ILLEGAL,ILLEGAL,0,0,0
STY,abs,3,4,0
STA,abs,3,4,0
STX,abs,3,4,0
ILLEGAL,ILLEGAL,0,0,0
BCC,relative,2,2,2
STA,indy,2,6,0
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
STY,zpx,2,4,0
STA,zpx,2,4,0
STX,zpy,2,4,0
ILLEGAL,ILLEGAL,0,0,0
TYA,implied,1,2,0
STA,absy,3,5,0
TXS,implied,1,2,0
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
STA,absx,3,5,0
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
LDY,imm,2,2,0
LDA,indx,2,6,0
LDX,imm,2,2,0
ILLEGAL,ILLEGAL,0,0,0
LDY,zp,2,3,0
LDA,zp,2,3,0
LDX,zp,2,3,0
ILLEGAL,ILLEGAL,0,0,0
TAY,implied,1,2,0
LDA,imm,2,2,0
TAX,implied,1,2,0
ILLEGAL,ILLEGAL,0,0,0
LDY,abs,3,4,0
LDA,abs,3,4,0
LDX,abs,3,4,0
ILLEGAL,ILLEGAL,0,0,0
BCS,relative,2,2,2
LDA,indy,2,5,1
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
LDY,zpx,2,4,0
LDA,zpx,2,4,0
LDX,zpy,2,4,0
ILLEGAL,ILLEGAL,0,0,0
CLV,implied,1,2,0
LDA,absy,3,4,1
TSX,implied,1,2,0
ILLEGAL,ILLEGAL,0,0,0
LDY,absx,3,4,1
LDA,absx,3,4,1
LDX,absy,3,4,1
ILLEGAL,ILLEGAL,0,0,0
CPY,imm,2,2,0
CMP,indx,2,6,0
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
CPY,zp,2,3,0
CMP,zp,2,3,0
DEC,zp,2,5,0
ILLEGAL,ILLEGAL,0,0,0
INY,implied,1,2,0
CMP,imm,2,2,0
DEX,implied,1,2,0
ILLEGAL,ILLEGAL,0,0,0
CPY,abs,3,4,0
CMP,abs,3,4,0
DEC,abs,3,6,0
ILLEGAL,ILLEGAL,0,0,0
BNE,relative,2,2,2
CMP,indy,2,5,1
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
CMP,zpx,2,4,0
DEC,zpx,2,6,0
ILLEGAL,ILLEGAL,0,0,0
CLD,implied,1,2,0
CMP,absy,3,4,1
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
CMP,absx,3,4,1
DEC,absx,3,7,0
ILLEGAL,ILLEGAL,0,0,0
CPX,imm,2,2,0
SBC,indx,2,6,0
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
CPX,zp,2,3,0
SBC,zp,2,3,0
INC,zp,2,5,0
ILLEGAL,ILLEGAL,0,0,0
INX,implied,1,2,0
SBC,imm,2,2,0
NOP,implied,1,2,0
ILLEGAL,ILLEGAL,0,0,0
CPX,abs,3,4,0
SBC,abs,3,4,0
INC,abs,3,6,0
ILLEGAL,ILLEGAL,0,0,0
BEQ,relative,2,2,2
SBC,indy,2,5,1
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
SBC,zpx,2,4,0
INC,zpx,2,6,0
ILLEGAL,ILLEGAL,0,0,0
SED,implied,1,2,0
SBC,absy,3,4,1
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
ILLEGAL,ILLEGAL,0,0,0
SBC,absx,3,4,1
INC,absx,3,7,0
ILLEGAL,ILLEGAL,0,0,0
